Aba	T.	Kız		#1. Abla. #2. Anne.
Abaca	T.	Kız		Abla veya anneye benzeyen.
Abacan	T.+Far.	Kız		“Canım anneciğim, sevgili anneciğim” anlamında kullanılan bir ad.
Abaç	T.	Kız		Annesine benzeyen.
Abay	T.	Erkek		#1. Beceri. #2. Seziş, anlayış. #3. Büyük erkek kardeş.
Abayhan		Erkek		Abay+han.
Abaza	T.	Kız		#1. Kuzeybatı Kafkasya’da yaşayan bir halk.#2. Bu halka mensup olan kimse.
Abbas	Ar.	Erkek		#1. Aslan. #2. Sert, çatık kaşlı kimse.
Abdal	Ar.	Erkek		#1. Gezgin derviş.#2. Dilenci kılıklı, üstü başı perişan kimse.
Abdi	Ar.	Erkek		Kullukla, kölelikle ilgili.
Abdullah	Ar.	Erkek		Tanrı’nın kulu.
Abdurrahman	Ar.	Erkek		Rahmet sahibi olan Tanrı'nın kulu.
Abdülâlim	Ar.	Erkek	(abdüla:lim)	En iyi bilen Tanrı'nın kulu.
Abdülazim	Ar.	Erkek		Büyük, ulu olan Tanrı'nın kulu
Abdülaziz	Ar.	Erkek		En yüce, en değerli olan Allah'ın kulu.
Abdülbaki	Ar.	Erkek	(abdülba:ki:)	Her zaman var olan Tanrı'nın kulu
Abdülbari	Ar.	Erkek	(abdülba:ri:)	Yaratan, yaratıcı olan Tanrı'nın kulu.
Abdülbasir	Ar.	Erkek	(abdülbasi:r)	Her şeyi görüp anlayan Tanrı'nın kulu.
Abdülbasit	Ar.	Erkek	(abdülba:sit)	Rızkı yayıp bollaştıran Tanrı'nın kulu.
Abdülcabbar	Ar.	Erkek		bk. Abdülcebbar
Abdülcebbar	Ar.	Erkek		Zorlayıcı güce sahip olan Tanrı'nın kulu.
Abdülcelil	Ar.	Erkek		En yüce olan Tanrı'nın kulu
Abdülcemal	Ar.	Erkek		Güzellikleri kendinde toplayan Tanrı'nın kulu.
Abdülcevat	Ar.	Erkek		Cömert olan Tanrı'nın kulu.
Abdülezel	Ar.	Erkek		Ezelden beri var olan Tanrı'nın kulu.
Abdülferit	Ar.	Erkek		Tek, eşsiz olan Tanrı'nın kulu.
Abdülfettah	Ar.	Erkek		Gizli şeyleri açığa çıkaran Tanrı'nın kulu.
Abdülgaffar	Ar.	Erkek		Kullarının günahlarını bağışlayan Tanrı'nın kulu.
Abdülgaffur	Ar.	Erkek		bk. Abdülgafur
Abdülgafur	Ar.	Erkek		Suç bağışlayan, merhamet eden Tanrı'nın kulu.
Abdülgani	Ar.	Erkek	(abdülgani:)	Varlıklı, cömert olan Tanrı'nın kulu.
Abdülhadi	Ar.	Erkek	(abdülha:di:)	Doğru yolu gösteren Tanrı'nın kulu.
Abdülhak	Ar.	Erkek		Tanrı'nın kulu.
Abdülhakim	Ar.	Erkek		Her şeyi bilen Tanrı'nın kulu.
Abdülhalik	Ar.	Erkek	(abdülha:lik)	Yaratan, yoktan var eden Tanrı'nın kulu.
Abdülhalim	Ar.	Erkek		İyi ve yumuşak huylu Tanrı'nın kulu.
Abdülhamit	Ar.	Erkek		Herkesçe övülen Tanrı'nın kulu.
Abdülkadir	Ar.	Erkek		Kudretli ve güçlü olan Tanrı'nın kulu.
Abdülkahhar	Ar.	Erkek	abdülkahha:r	Kahredici, yok edici gücü olan Tanrı'nın kulu.
Abdülkerim	Ar.	Erkek		Kerem sahibi, cömert, ulu olan Tanrı'nın kulu.
Abdüllâtif	Ar.	Erkek		Bağışta bulunan Tanrı'nın kulu
Abdülmecit	Ar.	Erkek		Şan ve şeref sahibi, ulu olan Tanrı'nın kulu.
Abdülmelik	Ar.	Erkek		Evrene hükümdar olan Tanrı'nın kulu
Abdülmennan	Ar.	Erkek		Lütuf ve ihsan sahibi olan Tanrı'nını kulu
Abdülmetin	Ar.	Erkek		Sonsuz sağlamlığa, dayanıklılığa, güce sahip olan Tanrı'nın kulu
Abdülnasır	Ar.	Erkek	(abdülna:sır)	Yardımcı olan, yardım eden Tanrı'nın kulu
Abdülvahap	Ar.	Erkek		İhsanı bol olan Tanrı'nın kulu.
Abdülvahit	Ar.	Erkek	(abdülva:hit)	Tek ve eşsiz olan Tanrı'nın kulu.
Abdürrahim	Ar.	Erkek		Merhametli, esirgeyen, koruyan Tanrı'nın kulu.
Abdürrahman		Erkek		bk. Abdurrahman
Abdürrauf	Ar.	Erkek		Çok merhamet eden, esirgeyen Tanrı'nın kulu.
Abdürreşit	Ar.	Erkek		Doğru yolu gösteren Tanrı'nın kulu.
Abdürrezzak	Ar.	Erkek		Tüm yaratıklara rızkını veren Tanrı'nın kulu.
Abdüssamet	Ar.	Erkek		Kimseye ve hiçbir şeye ihtiyacı olmayan Tanrı'nın kulu.
Abdüssami	Ar.	Erkek		Her şeyi duyan, yüce Tanrı'nın kulu.
Abdüsselâm	Ar.	Erkek		Barışçı olan Tanrı'nın kulu.
Abdüssemi	Ar.	Erkek		Her şeyi işiten, duyan Tanrı'nın kulu.
Abdüssettar	Ar.	Erkek		Günahları örten, gizleyen Tanrı'nın kulu.
Abdüzzeki	Ar.	Erkek		Anlayışlı, zeki olan Tanrı'nın kulu.
Abgül	Far.	Kız	(a:bgül)	Su gibi berrak ve duru olan gül.
Abher	Ar.	Kız		#1. Nergis çiçeği. #2. Yasemin. #3. Dolu kap.
Abıhayat	Far.ab+Ar.hayat	Kız	(a:bıhayat)	Hayat suyu, içene sonsuz yaşam sağlayan efsanevi su.
Abır	T.	Erkek		#1. Namus, şeref, haysiyet. #2. Utanma, hicap, hayâ.
Abıru	Far.	Kız	(a:bıru:)	#1. Yüz suyu. #2. Irz, namus, şeref, haysiyet.
Abid	Ar.	Erkek	(a:bid)	bk. abit
Abide	Ar.	Kız	(a:bide)	#1. Anıt. #2. Önemi ve değeri çok olan yapıt.#3. İbadet eden, tapan kul.
Abidin	Ar.	Erkek	(a:bidin)	İbadet eden, tapan kullar.
Abil	Ar.	Erkek	(a:bil)	Koyun, at ve deve gibi hayvanlara iyi bakan kimse.
Abir	Ar.	Erkek	(abi:r)	Güzel koku, misk.
Abit	Ar.	Erkek	(a:bit)	İbadet eden, tapan kul.
Abiye	Ar.	Kız	(a:biye)	#1. Güzel, zarif, ince. #2. Yüzünü örtü ile örten utangaç kadın.
Ablak	T.	Erkek		#1. Yüzü güzel, parlak, yakışıklı. #2. Sevimli. #3. Yayvan ve toplu yüz. #4. Çok beyaz. #5. Siyahlı beyazlı. #6. Geniş, enli. #7. Ceviz ağacının mobilya yapmaya yarar iç kısmı. #8. Ağaçların dayanıklı kısmı. #9. Yaban armudu, ahlat. #10. İyice olgunlaşmamış üzüm.
Abraş	Ar.	Erkek		#1. Çilli, çopur yüzlü, sarı saçlı, açık renkli gözlü adam. #2. Doru at. #3. Alaca bulaca, karışık renkli. #4. Tedirgin edici, obur. #5. Çarpık, eğri.
Abruy	Far.	Kız	(a:bru:y)	#1. Yüz suyu. #2. Irz, namus, şeref, haysiyet.
Abuşka	T.	Erkek		#1. Kadının kocası, eş. #2. Yaşlı, sözü dinlenen kimse.
Abuzer	Ar.+Far.	Erkek		Altın suyu.
Abuzettin	Ar.	Erkek		İzzettin'in babası.
Aca	T.	Erkek		#1. Amca. #2. Abla. #3. Anneanne, nine. #4. Güçlü kuvvetli, başladığı işi bitiren. #5. Büyük. #6. Derelerin içinde yetişen, basit yapraklı, kırmızı çiçekli, güzel kokulu bir çalı.
Acabay	T.	Erkek		Aca ve bay sözlerinden oluşan bir ad.
Acabey	T.	Erkek		Aca ve bey sözlerinden oluşan bir ad.
Acahan	T.	Erkek		Aca ve han sözlerinden oluşan bir ad.
Acar	T.	Erkek		#1. Kuvvetli, güçlü, dinç. #2. Çevik, atılgan, kabına sığmaz. #3. Gözü pek, yiğit, cesur, kabadayı, yılmaz, #4. Hoş, sevimli yüzlü (kimse). #5. Yeni. #6. Taze. #7. Şişman, etli, semiz. #8. Çalışkan, becerikli. #9. Açıkgöz, zeki. #10. Çapkın. #1#1. Bir çeşit zehirli ot.
Acar	T.	Kız		#1. Kuvvetli, güçlü, dinç. #2. Çevik, atılgan, kabına sığmaz. #3. Gözü pek, yiğit, cesur, kabadayı, yılmaz, #4. Hoş, sevimli yüzlü (kimse). #5. Yeni. #6. Taze. #7. Şişman, etli, semiz. #8. Çalışkan, becerikli. #9. Açıkgöz, zeki. #10. Çapkın. #1#1. Bir çeşit zehirli ot.
Acaralp	T.	Erkek		Yiğit, becerikli, cesur kişi.
Acarbegüm	T.	Kız		Güzel yüzlü hanımefendi, sevimli hanımefendi.
Acarbey	T.	Erkek		Güçlü, cesur, atılgan, becerikli kimse.
Acarbike	T.	Kız		bk.Acarbüke
Acarbüke	T.	Kız		Güzel yüzlü hanım, sevimli hanım.
Acarer	T.	Erkek		Güçlü, becerikli, gözü pek kimse.
Acarhatun	T.	Kız		Güzel yüzlü hatun, sevimli hatun.
Acarkan	T.	Erkek		Gözü pek, atılgan, cesur, nitelikli kimse.
Acarkan	T.	Kız		Güzel soylu, soyu sopu güzel, sevimli.
Acarkatun	T.	Kız		bk. Acarhatun.
Acarman	T.	Erkek		Çevik, becerikli, girişken insan.
Acaröz	T.	Erkek		Özünde yiğitlik, cesaret, doğruluk, beceriklilik nitelikleri taşıyan kimse.
Acarsoy	T.	Erkek		Yiğit, güçlü bir soydan gelen kimse.
Acartürk	T.	Erkek		Güçlü, korkusuz, yiğit Türk.
Acatay		Erkek		Aca ve tay sözlerinden oluşan bir ad.
Acıdaş	T.	Erkek		Acıya ortak olan, dost.
Aclan	Ar.	Erkek		Hızlı, çabuk, telaşlı kimse.
Acun	T.	Erkek		#1. Dünya. #2. Varlık.
Acunal	T.	Erkek		“Dünyayı fethet; dünyaya yayıl“ anlamında kullanılan bir ad.
Acunalan	T.	Erkek		#1. Dünya genişliğinde,dünyayı kapsayan. #2. Dünyayı eline geçiren.
Acunalp	T.	Erkek		Dünyaca tanınmış yiğit.
Acunbegim	T.	Kız		bk. Acunbegüm.
Acunbegüm	T.	Kız		Dünyanın hanımefendisi.
Acunbike	T.	Kız		bk. Acunbüke.
Acunbüke	T.	Kız		Dünya güzeli.
Acuner	T.	Erkek		Çok ünlü, tanınmış kimse.
Acungüneş	T.	Kız		Dünyanın güneşi, dünyayı aydınlatan şey.
Acunışık	T.	Kız		Dünyanın ışığı, dünyayı aydınlatan ışık.
Acunman	T.	Erkek		Çok ünlü, tanınmış kimse.
Acunseven	T.	Erkek		Dünyayı seven.
Aça	T.	Kız		Anne, anne yerinde olan yaşlı kadın.
Açalya	Yun.	Kız		Fundagillerden, güzel, renkli, kokusuz çiçekler açan bir bitki.
Açangül	T.	Kız		Açmış gül.
Açelya	Yun.	Kız		bk.Açalya.
Açıkalın	T.	Erkek		Doğruluktan ve dürüstlükten ayrılmayan kimse.
Açıkel	T.	Erkek		Cömert insan.
Açıker	T.	Erkek		Dürüst, doğru insan.
Açıkgün	T.	Erkek		Açık ve gün sözlerinden oluşan bir söz.
Açıl	T.	Erkek		“Büyü, serpil, geliş” anlamında bir söz.
Açılay	T.	Kız		“Ay gibi doğ, ay gibi açıl” anlamında kullanılan bir ad.
Açine	T.	Erkek		Önder, lider, yol gösteren, erkek kurt.
Açkıngül	T.+Far.	Kız		Açan, açmış gül.
Adahan	T.	Erkek		Ada ve han sözlerinden oluşan bir ad.
